,N,#procs,time_mean,time_std,cpu_mean,cpu_std,instance,parallel
220,256,4,7.21,0.0188,99.9,0.0775,m5xlarge,True
221,256,4,14.1,0.0996,25.0,0.03,m5xlarge,False
222,256,8,7.17,0.0204,99.9,0.049,m5xlarge,True
223,256,8,14.1,0.0888,25.0,0.03,m5xlarge,False
224,256,16,7.24,0.0225,99.9,0.0458,m5xlarge,True
225,256,16,14.4,0.11599999999999999,25.0,0.0,m5xlarge,False
226,256,32,7.22,0.0177,99.9,0.0,m5xlarge,True
227,256,32,14.1,0.1,25.0,0.0,m5xlarge,False
228,512,1,117.0,0.17,25.0,0.0,m5xlarge,True
229,512,1,115.0,0.348,25.0,0.0,m5xlarge,False
230,512,2,57.7,0.179,50.0,0.0447,m5xlarge,True
231,512,2,113.0,0.868,25.0,0.0,m5xlarge,False
232,512,4,57.4,0.23,99.6,0.1,m5xlarge,True
233,512,4,116.0,0.192,25.0,0.0,m5xlarge,False
234,512,8,57.6,0.146,99.7,0.111,m5xlarge,True
235,512,8,116.0,0.384,25.0,0.0,m5xlarge,False
236,512,16,57.2,0.0957,99.8,0.0663,m5xlarge,True
237,512,16,115.0,0.691,25.0,0.0,m5xlarge,False
238,512,32,57.2,0.132,100.0,0.0458,m5xlarge,True
239,512,32,115.0,0.29100000000000004,25.0,0.0,m5xlarge,False
240,1,1,0.00248,0.000113,0.0,0.0,m52xlarge,True
241,1,1,0.000106,5.28e-06,0.0,0.0,m52xlarge,False
242,1,2,0.00236,3.54e-05,10.0,20.0,m52xlarge,True
243,1,2,0.00010400000000000001,2.54e-06,0.0,0.0,m52xlarge,False
244,1,4,0.00233,3.5600000000000005e-05,10.0,20.0,m52xlarge,True
245,1,4,0.000103,1.86e-06,0.0,0.0,m52xlarge,False
246,1,8,0.00229,2.1899999999999997e-05,8.33,17.1,m52xlarge,True
247,1,8,0.000101,1.33e-06,0.0,0.0,m52xlarge,False
248,1,16,0.00232,3.75e-05,0.0,0.0,m52xlarge,True
249,1,16,0.000102,2.53e-06,0.0,0.0,m52xlarge,False
250,1,32,0.00231,3.13e-05,15.0,18.9,m52xlarge,True
251,1,32,0.000103,7.31e-06,5.0,15.0,m52xlarge,False
252,2,1,0.00232,2.9999999999999997e-05,8.33,17.1,m52xlarge,True
253,2,1,0.000106,1.87e-06,0.0,0.0,m52xlarge,False
254,2,2,0.0032700000000000003,9.08e-05,19.1,15.8,m52xlarge,True
255,2,2,0.000106,2.58e-06,0.0,0.0,m52xlarge,False
256,2,4,0.0032,6.809999999999999e-05,9.99,15.3,m52xlarge,True
257,2,4,0.00010800000000000001,2.07e-06,0.0,0.0,m52xlarge,False
258,2,8,0.00323,0.00011200000000000001,13.3,16.3,m52xlarge,True
259,2,8,0.00010800000000000001,1.93e-06,0.0,0.0,m52xlarge,False
260,2,16,0.00323,0.000113,12.5,15.5,m52xlarge,True
261,2,16,0.000109,1.46e-06,0.0,0.0,m52xlarge,False
262,2,32,0.00324,8.209999999999999e-05,19.1,15.8,m52xlarge,True
263,2,32,0.000109,1.63e-06,0.0,0.0,m52xlarge,False
264,4,1,0.0024,3.229999999999999e-05,11.7,18.3,m52xlarge,True
265,4,1,0.000155,1.47e-06,0.0,0.0,m52xlarge,False
266,4,2,0.00323,9.279999999999999e-05,21.6,18.3,m52xlarge,True
267,4,2,0.000154,6.2e-06,0.0,0.0,m52xlarge,False
268,4,4,0.00565,0.000178,25.7,4.28,m52xlarge,True
269,4,4,0.00016999999999999999,1.22e-05,0.0,0.0,m52xlarge,False
270,4,8,0.00562,0.000144,22.0,12.9,m52xlarge,True
271,4,8,0.00016999999999999999,5.51e-06,0.0,0.0,m52xlarge,False
272,4,16,0.00554,0.000174,23.0,2.45,m52xlarge,True
273,4,16,0.000174,1.15e-05,0.0,0.0,m52xlarge,False
274,4,32,0.00564,0.000193,29.5,9.6,m52xlarge,True
275,4,32,0.000169,2.26e-06,0.0,0.0,m52xlarge,False
276,8,1,0.0028899999999999998,5.610000000000001e-05,13.3,16.3,m52xlarge,True
277,8,1,0.000529,1.53e-05,10.0,20.0,m52xlarge,False
278,8,2,0.00359,8.68e-05,19.1,15.8,m52xlarge,True
279,8,2,0.000521,1.34e-05,0.0,0.0,m52xlarge,False
280,8,4,0.00556,0.00022,32.0,8.12,m52xlarge,True
281,8,4,0.0005269999999999999,5.13e-06,0.0,0.0,m52xlarge,False
282,8,8,0.00939,0.000306,30.7,6.28,m52xlarge,True
283,8,8,0.000532,6.56e-06,0.0,0.0,m52xlarge,False
284,8,16,0.00923,0.00025499999999999996,28.9,8.17,m52xlarge,True
285,8,16,0.000546,3.06e-05,0.0,0.0,m52xlarge,False
286,8,32,0.00937,0.00017900000000000001,27.9,4.79,m52xlarge,True
287,8,32,0.000532,2.51e-05,5.0,15.0,m52xlarge,False
288,16,1,0.00566,4.73e-05,11.3,11.9,m52xlarge,True
289,16,1,0.0033299999999999996,3.32e-05,11.7,14.5,m52xlarge,False
290,16,2,0.00488,5.05e-05,17.5,11.5,m52xlarge,True
291,16,2,0.00328,4.03e-05,17.5,14.6,m52xlarge,False
292,16,4,0.00604,0.00028199999999999997,34.6,7.83,m52xlarge,True
293,16,4,0.00328,4.6500000000000005e-05,8.33,12.9,m52xlarge,False
294,16,8,0.009770000000000001,0.000306,35.3,3.57,m52xlarge,True
295,16,8,0.00339,2.61e-05,8.33,12.9,m52xlarge,False
296,16,16,0.0179,0.000223,35.3,3.63,m52xlarge,True
297,16,16,0.0034200000000000003,5.7100000000000006e-05,9.16,14.2,m52xlarge,False
298,16,32,0.0177,0.00016,29.6,2.6,m52xlarge,True
299,16,32,0.00339,2.23e-05,9.16,14.2,m52xlarge,False
300,32,1,0.0294,0.00011999999999999999,12.7,1.71,m52xlarge,True
301,32,1,0.0261,0.000197,12.4,2.19,m52xlarge,False
302,32,2,0.0165,0.00010400000000000001,24.0,4.25,m52xlarge,True
303,32,2,0.0256,0.000236,13.2,1.88,m52xlarge,False
304,32,4,0.0128,0.00207,38.2,4.07,m52xlarge,True
305,32,4,0.026000000000000002,0.000245,12.5,2.06,m52xlarge,False
306,32,8,0.0149,0.0005099999999999999,50.8,3.3,m52xlarge,True
307,32,8,0.0259,0.000258,12.4,2.19,m52xlarge,False
308,32,16,0.021,0.000638,51.7,3.38,m52xlarge,True
309,32,16,0.0253,0.000239,13.3,2.98,m52xlarge,False
310,32,32,0.0352,0.000731,44.7,2.46,m52xlarge,True
311,32,32,0.0252,0.00025699999999999996,12.7,2.12,m52xlarge,False
312,64,1,0.215,0.00082,12.6,0.23199999999999998,m52xlarge,True
313,64,1,0.20600000000000002,0.00146,12.5,0.258,m52xlarge,False
314,64,2,0.11,0.000517,24.6,0.523,m52xlarge,True
315,64,2,0.20600000000000002,0.0018800000000000002,12.6,0.192,m52xlarge,False
316,64,4,0.0596,0.0063,47.3,1.55,m52xlarge,True
317,64,4,0.203,0.00144,12.6,0.22399999999999998,m52xlarge,False
318,64,8,0.0641,0.0025,84.8,4.81,m52xlarge,True
319,64,8,0.20600000000000002,0.00146,12.6,0.166,m52xlarge,False
320,64,16,0.0684,0.000828,85.0,1.84,m52xlarge,True
321,64,16,0.203,0.0020399999999999997,12.6,0.21,m52xlarge,False
322,64,32,0.0737,0.00231,87.5,2.5,m52xlarge,True
323,64,32,0.205,0.00158,12.6,0.233,m52xlarge,False
324,128,1,1.68,0.0059700000000000005,12.5,0.04,m52xlarge,True
325,128,1,1.63,0.0123,12.5,0.0447,m52xlarge,False
326,128,2,0.831,0.00445,25.0,0.0539,m52xlarge,True
327,128,2,1.58,0.0171,12.5,0.03,m52xlarge,False
328,128,4,0.424,0.0149,49.3,0.804,m52xlarge,True
329,128,4,1.58,0.013999999999999999,12.5,0.0458,m52xlarge,False
330,128,8,0.455,0.00157,98.0,0.21899999999999997,m52xlarge,True
331,128,8,1.64,0.0108,12.5,0.03,m52xlarge,False
332,128,16,0.45899999999999996,0.00486,97.7,1.07,m52xlarge,True
333,128,16,1.65,0.0143,12.5,0.03,m52xlarge,False
334,128,32,0.46399999999999997,0.00141,98.1,0.29100000000000004,m52xlarge,True
335,128,32,1.62,0.008140000000000001,12.5,0.0,m52xlarge,False
336,256,1,13.5,0.0441,12.5,0.0,m52xlarge,True
337,256,1,13.1,0.098,12.5,0.0,m52xlarge,False
338,256,2,6.74,0.012,25.0,0.0,m52xlarge,True
339,256,2,12.9,0.127,12.5,0.0,m52xlarge,False
340,256,4,3.39,0.0168,49.9,0.145,m52xlarge,True
341,256,4,13.1,0.11599999999999999,12.5,0.0,m52xlarge,False
342,256,8,3.59,0.0069299999999999995,99.4,0.18,m52xlarge,True
343,256,8,13.2,0.0829,12.5,0.0,m52xlarge,False
344,256,16,3.6,0.0198,99.3,0.922,m52xlarge,True
345,256,16,13.1,0.111,12.5,0.0,m52xlarge,False
346,256,32,3.59,0.007209999999999999,99.7,0.0748,m52xlarge,True
347,256,32,12.9,0.102,12.5,0.0,m52xlarge,False
348,512,1,108.0,0.179,12.5,0.0,m52xlarge,True
349,512,1,106.0,0.391,12.5,0.0,m52xlarge,False
350,512,2,54.2,0.0977,25.0,0.0,m52xlarge,True
351,512,2,105.0,0.341,12.5,0.0,m52xlarge,False
352,512,4,27.1,0.0611,49.8,0.0922,m52xlarge,True
353,512,4,106.0,0.95,12.5,0.0,m52xlarge,False
354,512,8,28.5,0.0487,99.5,0.133,m52xlarge,True
355,512,8,105.0,0.62,12.5,0.0,m52xlarge,False
356,512,16,28.5,0.043,99.7,0.10400000000000001,m52xlarge,True
357,512,16,106.0,0.32,12.5,0.0,m52xlarge,False
358,512,32,28.4,0.0421,99.8,0.09,m52xlarge,True
359,512,32,105.0,0.251,12.5,0.0,m52xlarge,False
360,1,1,0.00302,0.000605,30.0,45.8,r5large,True
361,1,1,0.00011599999999999999,1.47e-05,0.0,0.0,r5large,False
362,1,2,0.00305,0.000784,55.0,47.2,r5large,True
363,1,2,0.00011100000000000001,1.66e-05,0.0,0.0,r5large,False
364,1,4,0.00281,0.000907,50.0,50.0,r5large,True
365,1,4,0.00011200000000000001,2.12e-05,0.0,0.0,r5large,False
366,1,8,0.00277,0.0011099999999999999,40.0,49.0,r5large,True
367,1,8,0.000103,1.57e-05,0.0,0.0,r5large,False
368,1,16,0.00247,0.000479,30.0,45.8,r5large,True
369,1,16,0.00011100000000000001,1.8100000000000003e-05,0.0,0.0,r5large,False
370,1,32,0.003,0.0009289999999999999,35.0,45.0,r5large,True
371,1,32,9.63e-05,1.6e-05,0.0,0.0,r5large,False
372,2,1,0.00271,0.000446,50.0,50.0,r5large,True
373,2,1,0.00011100000000000001,1.64e-05,0.0,0.0,r5large,False
